week_start,channel,spend,impressions,clicks,revenue,is_holiday,is_black_friday_week,is_summer,is_promo_period,month_num
2023-01-02,digital,12002.36,3429246,33600,345732.84,0,0,0,0,1
2023-01-02,ooh,10323.19,1720531,43132,345732.84,0,0,0,0,1
2023-01-02,search,8408.57,2102142,59216,345732.84,0,0,0,0,1
2023-01-02,social,8123.72,1805271,28147,345732.84,0,0,0,0,1
2023-01-02,tiktok,5374.29,1074858,29238,345732.84,0,0,0,0,1
2023-01-02,tv,31504.8,3938100,42961,345732.84,0,0,0,0,1
2023-01-09,digital,17730.22,5065777,47550,390839.7,0,0,0,0,1
2023-01-09,ooh,7559.76,1259961,34430,390839.7,0,0,0,0,1
2023-01-09,search,11531.68,2882920,81643,390839.7,0,0,0,0,1
2023-01-09,social,8571.48,1904773,53815,390839.7,0,0,0,0,1
2023-01-09,tiktok,4478.11,895623,22654,390839.7,0,0,0,0,1
2023-01-09,tv,27802.51,3475313,21644,390839.7,0,0,0,0,1
2023-01-16,digital,15641.19,4468912,113062,419609.93,0,0,0,0,1
2023-01-16,ooh,10141.53,1690256,8917,419609.93,0,0,0,0,1
2023-01-16,search,8761.18,2190296,32389,419609.93,0,0,0,0,1
2023-01-16,social,5916.0,1314666,23086,419609.93,0,0,0,0,1
2023-01-16,tiktok,5605.97,1121195,15404,419609.93,0,0,0,0,1
2023-01-16,tv,34550.7,4318837,38179,419609.93,0,0,0,0,1
2023-01-23,digital,10367.01,2962002,34412,410804.47,0,0,0,0,1
2023-01-23,ooh,10105.92,1684320,15942,410804.47,0,0,0,0,1
2023-01-23,search,10240.13,2560034,33873,410804.47,0,0,0,0,1
2023-01-23,social,7566.89,1681531,49233,410804.47,0,0,0,0,1
2023-01-23,tiktok,4587.0,917400,17857,410804.47,0,0,0,0,1
2023-01-23,tv,27928.35,3491044,22982,410804.47,0,0,0,0,1
2023-01-30,digital,17889.12,5111177,142255,426672.11,0,0,0,1,1
2023-01-30,ooh,18191.33,3031888,83673,426672.11,0,0,0,1,1
2023-01-30,search,10037.15,2509288,40842,426672.11,0,0,0,1,1
2023-01-30,social,11922.85,2649522,30392,426672.11,0,0,0,1,1
2023-01-30,tiktok,6139.58,1227917,10469,426672.11,0,0,0,1,1
2023-01-30,tv,38991.5,4873937,48145,426672.11,0,0,0,1,1
2023-02-06,digital,11845.29,3384370,28772,440857.47,0,0,0,0,2
2023-02-06,ooh,12161.09,2026849,37978,440857.47,0,0,0,0,2
2023-02-06,search,6559.44,1639859,31483,440857.47,0,0,0,0,2
2023-02-06,social,9077.11,2017136,35529,440857.47,0,0,0,0,2
2023-02-06,tiktok,6563.78,1312757,38475,440857.47,0,0,0,0,2
2023-02-06,tv,24260.59,3032574,58269,440857.47,0,0,0,0,2
2023-02-13,digital,12189.16,3482617,76418,446317.86,0,0,0,0,2
2023-02-13,ooh,10363.02,1727170,15114,446317.86,0,0,0,0,2
2023-02-13,search,6953.01,1738254,28760,446317.86,0,0,0,0,2
2023-02-13,social,8082.7,1796156,47577,446317.86,0,0,0,0,2
2023-02-13,tiktok,4093.78,818756,22575,446317.86,0,0,0,0,2
2023-02-13,tv,26192.41,3274051,91055,446317.86,0,0,0,0,2
2023-02-20,digital,13433.34,3838097,97341,423280.24,0,0,0,0,2
2023-02-20,ooh,10878.2,1813033,18257,423280.24,0,0,0,0,2
2023-02-20,search,7382.95,1845737,39626,423280.24,0,0,0,0,2
2023-02-20,social,9149.73,2033274,32952,423280.24,0,0,0,0,2
2023-02-20,tiktok,2681.03,536205,15039,423280.24,0,0,0,0,2
2023-02-20,tv,22292.9,2786612,51359,423280.24,0,0,0,0,2
2023-02-27,digital,14589.91,4168545,45360,443147.04,0,0,0,0,2
2023-02-27,ooh,10477.64,1746274,37544,443147.04,0,0,0,0,2
2023-02-27,search,12339.15,3084788,58179,443147.04,0,0,0,0,2
2023-02-27,social,8553.91,1900868,22786,443147.04,0,0,0,0,2
2023-02-27,tiktok,6865.99,1373198,18269,443147.04,0,0,0,0,2
2023-02-27,tv,31103.33,3887916,80284,443147.04,0,0,0,0,2
2023-03-06,digital,12128.45,3465272,41255,443806.37,0,0,0,0,3
2023-03-06,ooh,9986.6,1664434,38482,443806.37,0,0,0,0,3
2023-03-06,search,7249.22,1812305,23592,443806.37,0,0,0,0,3
2023-03-06,social,9680.88,2151306,56766,443806.37,0,0,0,0,3
2023-03-06,tiktok,7858.12,1571624,14504,443806.37,0,0,0,0,3
2023-03-06,tv,19890.08,2486260,24979,443806.37,0,0,0,0,3
2023-03-13,digital,15814.92,4518547,131548,445534.01,0,0,0,0,3
2023-03-13,ooh,8173.83,1362304,27227,445534.01,0,0,0,0,3
2023-03-13,search,10151.44,2537859,34625,445534.01,0,0,0,0,3
2023-03-13,social,8276.99,1839332,27125,445534.01,0,0,0,0,3
2023-03-13,tiktok,4793.34,958668,9869,445534.01,0,0,0,0,3
2023-03-13,tv,30161.49,3770186,94310,445534.01,0,0,0,0,3
2023-03-20,digital,10084.48,2881279,33466,428379.85,0,0,0,0,3
2023-03-20,ooh,10139.62,1689937,48719,428379.85,0,0,0,0,3
2023-03-20,search,7139.48,1784870,25818,428379.85,0,0,0,0,3
2023-03-20,social,7283.76,1618614,29569,428379.85,0,0,0,0,3
2023-03-20,tiktok,3202.68,640537,4644,428379.85,0,0,0,0,3
2023-03-20,tv,25142.04,3142754,64253,428379.85,0,0,0,0,3
2023-03-27,digital,13114.99,3747141,59013,433486.91,0,0,0,0,3
2023-03-27,ooh,8915.08,1485847,25782,433486.91,0,0,0,0,3
2023-03-27,search,10359.21,2589801,19076,433486.91,0,0,0,0,3
2023-03-27,social,8386.91,1863758,54819,433486.91,0,0,0,0,3
2023-03-27,tiktok,4914.01,982802,7865,433486.91,0,0,0,0,3
2023-03-27,tv,32333.35,4041669,107522,433486.91,0,0,0,0,3
2023-04-03,digital,19947.57,5699306,90122,433824.14,0,0,0,0,4
2023-04-03,ooh,7875.79,1312631,16417,433824.14,0,0,0,0,4
2023-04-03,search,9425.4,2356350,21564,433824.14,0,0,0,0,4
2023-04-03,social,3259.91,724425,6999,433824.14,0,0,0,0,4
2023-04-03,tiktok,4950.38,990076,6715,433824.14,0,0,0,0,4
2023-04-03,tv,30197.63,3774703,108414,433824.14,0,0,0,0,4
2023-04-10,digital,13743.44,3926697,44473,401080.38,0,0,0,0,4
2023-04-10,ooh,11601.3,1933550,32737,401080.38,0,0,0,0,4
2023-04-10,search,8496.19,2124049,49018,401080.38,0,0,0,0,4
2023-04-10,social,8498.36,1888525,23673,401080.38,0,0,0,0,4
2023-04-10,tiktok,5062.68,1012537,30118,401080.38,0,0,0,0,4
